979,978,758
810,992,378
106,870,871
565,395,382
608,676,333
570,147,497
560,357,29
134,706,770
73,595,404
351,195,12
551,145,624
155,175,288
571,248,83
588,400,577
381,426,440
757,639,993
284,782,422
423,249,593
714,464,750
413,909,966
651,349,474
316,505,784
39,483,461
446,647,506
589,179,813
995,966,555
417,665,236
293,522,425
679,403,231
578,525,246
413,850,728
541,554,983
727,49,685
852,672,945
756,492,263
213,89,494
942,16,975
725,472,384
525,426,618
362,311,655
284,434,717
14,20,775
854,956,409
851,369,415
79,773,742
452,136,466
791,309,530
257,761,583
268,911,410
172,532,371
258,734,854
334,460,949
856,316,597
943,155,809
680,734,893
744,542,863
420,966,55
946,599,31
978,535,818
989,824,553
945,947,211
230,511,132
875,188,993
506,940,294
402,429,322
464,633,926
894,287,607
98,593,645
660,1000,413
643,307,680
72,820,684
404,488,43
616,590,757
567,266,439
118,464,260
162,88,491
258,244,314
554,161,952
272,492,773
472,496,708
640,144,327
490,566,574
179,520,684
679,303,446
722,71,944
778,767,64
11,868,382
350,625,643
702,14,417
624,19,148
82,237,892
927,575,105
823,951,800
140,378,564
762,642,50
287,320,563
147,948,463
461,474,663
113,627,520
71,561,956
